country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
CHN,USA,APARTHEID,1983,1.0,-0.9091,1.9091,0.04544999999999999,0
CHN,USA,APARTHEID,1984,1.0,-0.5714,1.5714000000000001,0.21429999999999993,0
CHN,USA,APARTHEID,1985,1.0,-0.75,1.75,0.125,0
CHN,USA,APARTHEID,1986,1.0,-0.8571,1.8571,0.07145000000000001,0
CHN,USA,APARTHEID,1987,1.0,-1.0,2.0,0.0,0
CHN,USA,APARTHEID,1988,1.0,-0.9,1.9,0.050000000000000044,0
CHN,USA,APARTHEID,1989,1.0,-0.8182,1.8182,0.09089999999999998,0
CHN,USA,APARTHEID,1990,1.0,-0.8333,1.8333,0.08335000000000004,0
CHN,USA,APARTHEID,1991,1.0,-0.75,1.75,0.125,0
CHN,USA,APARTHEID,1992,1.0,-0.75,1.75,0.125,0
CHN,USA,CHEMICAL WEAPONS,1984,0.6667,0.3333,0.3334,0.8333,1
CHN,USA,COLONIAL COUNTRIES--INDEPENDENCE--DECL. (1960),1984,0.75,-0.75,1.5,0.25,0
CHN,USA,DECOLONIZATION,1985,1.0,-0.5,1.5,0.25,0
CHN,USA,DECOLONIZATION,1986,1.0,-0.5,1.5,0.25,0
CHN,USA,DECOLONIZATION,1987,1.0,-0.5,1.5,0.25,0
CHN,USA,DECOLONIZATION,1988,1.0,-0.75,1.75,0.125,0
CHN,USA,DECOLONIZATION,1989,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,1990,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,1995,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,2000,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,2005,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,2006,1.0,-0.4,1.4,0.30000000000000004,0
CHN,USA,DECOLONIZATION,2010,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,2020,1.0,-1.0,2.0,0.0,0
CHN,USA,DECOLONIZATION,2024,1.0,-0.6667,1.6667,0.16664999999999996,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1983,0.6,-0.25,0.85,0.575,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1984,0.3333,-0.4286,0.7619,0.61905,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1985,0.5,0.1111,0.3889,0.80555,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1986,0.6,0.0,0.6,0.7,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1987,0.75,0.0,0.75,0.625,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1988,0.8,-0.0833,0.8833000000000001,0.5583499999999999,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1989,0.9,0.0,0.9,0.55,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1990,0.875,0.0,0.875,0.5625,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1991,0.6667,0.25,0.41669999999999996,0.79165,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1993,1.0,0.25,0.75,0.625,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1994,1.0,0.0,1.0,0.5,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1995,0.7273,0.25,0.47729999999999995,0.76135,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1996,0.8571,0.0714,0.7857,0.6071500000000001,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1997,0.8333,0.1667,0.6666000000000001,0.6667,1
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1998,0.6875,-0.0625,0.75,0.625,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,1999,0.5714,-0.2143,0.7857000000000001,0.60715,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2000,0.7143,0.0,0.7143,0.6428499999999999,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2002,0.6667,-0.5,1.1667,0.41664999999999996,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2005,0.75,-0.4706,1.2206000000000001,0.38969999999999994,0
CHN,USA,DISARMAMENT--GENERAL AND COMPLETE,2007,0.3333,-1.0,1.3333,0.33335000000000004,0
