country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
IND,CHN,APARTHEID,1983,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1984,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1985,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1986,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1987,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1988,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1989,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1990,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1991,1.0,1.0,0.0,1.0,1
IND,CHN,APARTHEID,1992,1.0,1.0,0.0,1.0,1
IND,CHN,CHEMICAL WEAPONS,1984,-0.3333,0.6667,1.0,0.5,0
IND,CHN,COLONIAL COUNTRIES--INDEPENDENCE--DECL. (1960),1984,1.0,0.75,0.25,0.875,1
IND,CHN,DECOLONIZATION,1985,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,1986,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,1987,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,1988,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,1989,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,1990,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,1995,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,2000,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,2005,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,2006,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,2010,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,2020,1.0,1.0,0.0,1.0,1
IND,CHN,DECOLONIZATION,2024,1.0,1.0,0.0,1.0,1
