country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
IND,USA,APARTHEID,1983,1.0,-0.9091,1.9091,0.04544999999999999,0
IND,USA,APARTHEID,1984,1.0,-0.5714,1.5714000000000001,0.21429999999999993,0
IND,USA,APARTHEID,1985,1.0,-0.75,1.75,0.125,0
IND,USA,APARTHEID,1986,1.0,-0.8571,1.8571,0.07145000000000001,0
IND,USA,APARTHEID,1987,1.0,-1.0,2.0,0.0,0
IND,USA,APARTHEID,1988,1.0,-0.9,1.9,0.050000000000000044,0
IND,USA,APARTHEID,1989,1.0,-0.8182,1.8182,0.09089999999999998,0
IND,USA,APARTHEID,1990,1.0,-0.8333,1.8333,0.08335000000000004,0
IND,USA,APARTHEID,1991,1.0,-0.75,1.75,0.125,0
IND,USA,APARTHEID,1992,1.0,-0.75,1.75,0.125,0
IND,USA,CHEMICAL WEAPONS,1984,-0.3333,0.3333,0.6666,0.6667000000000001,0
IND,USA,COLONIAL COUNTRIES--INDEPENDENCE--DECL. (1960),1984,1.0,-0.75,1.75,0.125,0
IND,USA,DECOLONIZATION,1985,1.0,-0.5,1.5,0.25,0
IND,USA,DECOLONIZATION,1986,1.0,-0.5,1.5,0.25,0
IND,USA,DECOLONIZATION,1987,1.0,-0.5,1.5,0.25,0
IND,USA,DECOLONIZATION,1988,1.0,-0.75,1.75,0.125,0
IND,USA,DECOLONIZATION,1989,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,1990,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,1995,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,2000,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,2005,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,2006,1.0,-0.4,1.4,0.30000000000000004,0
IND,USA,DECOLONIZATION,2010,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,2020,1.0,-1.0,2.0,0.0,0
IND,USA,DECOLONIZATION,2024,1.0,-0.6667,1.6667,0.16664999999999996,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1983,0.125,-0.25,0.375,0.8125,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1984,0.5714,-0.4286,1.0,0.5,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1985,0.1111,0.1111,0.0,1.0,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1986,0.4,0.0,0.4,0.8,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1987,0.4444,0.0,0.4444,0.7778,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1988,0.5833,-0.0833,0.6666000000000001,0.6667,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1989,0.5833,0.0,0.5833,0.70835,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1990,0.5,0.0,0.5,0.75,0
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1991,0.5,0.25,0.25,0.875,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1992,0.3333,0.6667,0.3334,0.8333,1
IND,USA,DISARMAMENT--GENERAL AND COMPLETE,1993,0.5,0.25,0.25,0.875,1
