country_code,issue,change_year,mean_before,mean_after,change_magnitude,effect_size,persistence,low_variance_shift,confirmed,confidence,country,observations,first_year,last_year
RUS,DISARMAMENT--GENERAL AND COMPLETE,2012,0.556,-0.556,1.111,2.887,3,False,True,0.844,RUS,19,1992,2024
USA,DISARMAMENT--GENERAL AND COMPLETE,2008,-0.657,0.222,0.879,2.555,3,False,True,0.804,USA,27,1983,2023
RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1996,0.0,0.8,0.8,0.0,3,True,True,0.79,RUS,29,1992,2020
USA,MIDDLE EAST SITUATION,1993,-0.667,0.0,0.667,0.0,3,True,True,0.767,USA,14,1967,2018
RUS,PALESTINE QUESTION,1996,0.0,0.533,0.533,13.064,3,False,True,0.743,RUS,30,1992,2022
RUS,UNRWA--ACTIVITIES,1996,0.5,1.0,0.5,0.0,3,True,True,0.738,RUS,33,1992,2025
RUS,HUMAN RIGHTS ADVANCEMENT,1997,0.111,0.603,0.492,3.477,3,False,True,0.736,RUS,17,1993,2025
USA,DECOLONIZATION,1989,-0.583,-1.0,0.417,4.082,3,False,True,0.723,USA,13,1985,2024
RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1997,0.267,0.8,0.533,1.633,3,False,True,0.679,RUS,29,1992,2020
USA,MIDDLE EAST SITUATION,1985,-0.256,-0.694,0.439,0.945,3,False,True,0.542,USA,14,1967,2018
USA,DISARMAMENT--GENERAL AND COMPLETE,2002,-0.092,-0.657,0.565,2.517,1,False,False,0.549,USA,27,1983,2023
USA,HUMAN RIGHTS ADVANCEMENT,1996,-0.389,-0.857,0.468,2.494,1,False,False,0.532,USA,17,1993,2025
RUS,HUMAN RIGHTS ADVANCEMENT,1996,0.0,0.524,0.524,4.314,0,False,False,0.442,RUS,17,1993,2025
USA,DISARMAMENT--GENERAL AND COMPLETE,2010,-0.49,0.0,0.49,0.832,2,False,False,0.431,USA,27,1983,2023
USA,DECOLONIZATION,1988,-0.5,-0.917,0.417,4.082,0,False,False,0.423,USA,13,1985,2024
USA,DISARMAMENT--GENERAL AND COMPLETE,1991,-0.028,0.389,0.417,2.402,0,False,False,0.423,USA,27,1983,2023
USA,MIDDLE EAST SITUATION,1990,-0.694,-0.222,0.472,1.722,0,False,False,0.384,USA,14,1967,2018
RUS,HUMAN RIGHTS ADVANCEMENT,1998,0.302,0.746,0.444,1.723,0,False,False,0.379,RUS,17,1993,2025
RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,1995,0.0,0.533,0.533,1.633,0,False,False,0.379,RUS,29,1992,2020
USA,DISARMAMENT--GENERAL AND COMPLETE,2011,-0.333,0.111,0.444,0.696,1,False,False,0.3,USA,27,1983,2023
RUS,DISARMAMENT--GENERAL AND COMPLETE,2011,0.556,0.0,0.556,1.132,0,False,False,0.295,RUS,19,1992,2024
RUS,DISARMAMENT--GENERAL AND COMPLETE,2016,0.111,-0.444,0.556,0.913,0,False,False,0.257,RUS,19,1992,2024
RUS,DISARMAMENT--GENERAL AND COMPLETE,2010,0.569,0.111,0.458,0.908,0,False,False,0.239,RUS,19,1992,2024
