magnitude_threshold,effect_threshold,series_with_changes,candidate_events,confirmed_events,event_rate
0.1,0.3,16,116,63,4.0
0.1,0.5,16,111,61,3.8275862068965516
0.1,0.8,16,94,52,3.2413793103448274
0.1,1.0,16,73,43,2.5172413793103448
0.15,0.3,16,87,42,3.0
0.15,0.5,16,86,42,2.9655172413793105
0.15,0.8,16,75,37,2.586206896551724
0.15,1.0,16,60,32,2.0689655172413794
0.2,0.3,15,66,30,2.2758620689655173
0.2,0.5,15,66,30,2.2758620689655173
0.2,0.8,15,59,25,2.0344827586206895
0.2,1.0,15,48,23,1.6551724137931034
0.25,0.3,13,47,25,1.6206896551724137
0.25,0.5,13,47,25,1.6206896551724137
0.25,0.8,13,43,22,1.4827586206896552
0.25,1.0,13,37,20,1.2758620689655173
0.3,0.3,12,33,15,1.1379310344827587
0.3,0.5,12,33,15,1.1379310344827587
0.3,0.8,12,30,12,1.0344827586206897
0.3,1.0,12,26,11,0.896551724137931
0.4,0.3,9,23,10,0.7931034482758621
0.4,0.5,9,23,10,0.7931034482758621
0.4,0.8,8,20,8,0.6896551724137931
0.4,1.0,8,16,7,0.5517241379310345
