ranking,rank,pair,recent_alignment,overall_alignment,trend,confidence,historical_alignment,alignment_change,change_point_count,strongest_change_magnitude,volatility_score
STRONGEST_CURRENT,1,IND-CHN,0.9720159519696516,0.9595018315018315,STABLE,MODERATE,,,,,
STRONGEST_CURRENT,2,IND-RUS,0.8704591454999584,0.8338412280701755,INCREASING,HIGH,,,,,
STRONGEST_CURRENT,3,CHN-RUS,0.8654675722190269,0.830319526627219,INCREASING,MODERATE,,,,,
STRONGEST_CURRENT,4,USA-RUS,0.2130253740543628,0.3173658823529411,DECREASING,MODERATE,,,,,
STRONGEST_CURRENT,5,IND-USA,0.1425967269635126,0.2249892335766423,DECREASING,HIGH,,,,,
STRONGEST_CURRENT,6,CHN-USA,0.1257632709287861,0.2112765682656826,DECREASING,MODERATE,,,,,
FASTEST_IMPROVING,1,IND-RUS,0.8704591454999584,,,HIGH,0.7309333514094828,0.1395257940904756,,,
FASTEST_IMPROVING,2,CHN-RUS,0.8654675722190269,,,MODERATE,0.7270839569898805,0.13838361522914644,,,
FASTEST_IMPROVING,3,IND-CHN,0.9720159519696516,,,MODERATE,0.9528647146943484,0.019151237275303212,,,
FASTEST_DECLINING,1,USA-RUS,0.2130253740543628,,,MODERATE,0.5121148994100598,-0.299089525355697,,,
FASTEST_DECLINING,2,CHN-USA,0.1257632709287861,,,MODERATE,0.2724056800313525,-0.14664240910256643,,,
FASTEST_DECLINING,3,IND-USA,0.1425967269635126,,,HIGH,0.2732251154599915,-0.1306283884964789,,,
MOST_VOLATILE,1,IND-RUS,,,INCREASING,HIGH,,,4.0,0.128,0.33400805279156487
MOST_VOLATILE,2,IND-USA,,,DECREASING,HIGH,,,1.0,0.115,0.19471192576439372
MOST_VOLATILE,3,CHN-RUS,,,INCREASING,MODERATE,,,0.0,,
MOST_VOLATILE,4,CHN-USA,,,DECREASING,MODERATE,,,0.0,,
MOST_VOLATILE,5,IND-CHN,,,STABLE,MODERATE,,,0.0,,
MOST_VOLATILE,6,USA-RUS,,,DECREASING,MODERATE,,,0.0,,
HIGHEST_CONFIDENCE,1,IND-RUS,0.8704591454999584,,INCREASING,HIGH,,,4.0,,
HIGHEST_CONFIDENCE,2,IND-USA,0.1425967269635126,,DECREASING,HIGH,,,1.0,,
HIGHEST_CONFIDENCE,3,IND-CHN,0.9720159519696516,,STABLE,MODERATE,,,0.0,,
HIGHEST_CONFIDENCE,4,CHN-RUS,0.8654675722190269,,INCREASING,MODERATE,,,0.0,,
HIGHEST_CONFIDENCE,5,USA-RUS,0.2130253740543628,,DECREASING,MODERATE,,,0.0,,
HIGHEST_CONFIDENCE,6,CHN-USA,0.1257632709287861,,DECREASING,MODERATE,,,0.0,,
