country_a,country_b,issue,year,score_a,score_b,absolute_divergence,alignment_score,directional_agreement
USA,RUS,APARTHEID,1992,-0.75,-0.25,0.5,0.75,1
USA,RUS,DECOLONIZATION,1995,-1.0,0.25,1.25,0.375,0
USA,RUS,DECOLONIZATION,2000,-1.0,1.0,2.0,0.0,0
USA,RUS,DECOLONIZATION,2005,-1.0,1.0,2.0,0.0,0
USA,RUS,DECOLONIZATION,2006,-0.4,1.0,1.4,0.30000000000000004,0
USA,RUS,DECOLONIZATION,2010,-1.0,1.0,2.0,0.0,0
USA,RUS,DECOLONIZATION,2020,-1.0,1.0,2.0,0.0,0
USA,RUS,DECOLONIZATION,2024,-0.6667,1.0,1.6667,0.16664999999999996,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1992,0.6667,1.0,0.33330000000000004,0.83335,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1993,0.25,0.5,0.25,0.875,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1994,0.0,0.4,0.4,0.8,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1995,0.25,0.5,0.25,0.875,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1996,0.0714,0.3571,0.28569999999999995,0.8571500000000001,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1997,0.1667,0.3333,0.1666,0.9167,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1998,-0.0625,0.25,0.3125,0.84375,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,1999,-0.2143,0.0714,0.2857,0.85715,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2000,0.0,0.3571,0.3571,0.82145,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2002,-0.5,0.75,1.25,0.375,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2005,-0.4706,0.375,0.8456,0.5771999999999999,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2007,-1.0,0.6667,1.6667,0.16664999999999996,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2008,0.0,0.6667,0.6667,0.66665,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2010,0.0,0.3333,0.3333,0.83335,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2011,0.6667,0.6667,0.0,1.0,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2012,-0.6667,-0.6667,0.0,1.0,1
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2016,0.3333,0.0,0.3333,0.83335,0
USA,RUS,DISARMAMENT--GENERAL AND COMPLETE,2023,0.6667,-1.0,1.6667,0.16664999999999996,0
USA,RUS,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,1992,-1.0,0.6667,1.6667,0.16664999999999996,0
USA,RUS,HEALTH,2025,-1.0,1.0,2.0,0.0,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1993,-0.3333,0.0,0.3333,0.83335,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1994,-0.5,0.0,0.5,0.75,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1995,-0.3333,0.0,0.3333,0.83335,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1996,-1.0,0.3333,1.3333,0.33335000000000004,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1997,-0.5714,0.5714,1.1428,0.4286,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1998,-1.0,0.6667,1.6667,0.16664999999999996,0
USA,RUS,HUMAN RIGHTS ADVANCEMENT,1999,-0.5714,0.5714,1.1428,0.4286,0
