country_a,country_b,change_year,issue_rank,issue,before_alignment,after_alignment,issue_change,absolute_issue_change
IND,RUS,2000,1,DISARMAMENT--GENERAL AND COMPLETE,0.9265666666666666,0.75,-0.17656666666666665,0.17656666666666665
IND,RUS,2000,2,HUMAN RIGHTS ADVANCEMENT,0.8015833333333333,0.8833333333333333,0.08174999999999999,0.08174999999999999
IND,RUS,2000,3,UNRWA--ACTIVITIES,1.0,0.9666666666666667,-0.033333333333333326,0.033333333333333326
IND,RUS,2000,4,PALESTINE QUESTION,0.7666666666666666,0.75,-0.016666666666666607,0.016666666666666607
IND,RUS,2000,5,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,0.9,0.9,0.0,0.0
IND,RUS,1998,1,DECOLONIZATION,0.625,1.0,0.375,0.375
IND,RUS,1998,2,HUMAN RIGHTS ADVANCEMENT,0.6507833333333334,0.8952333333333334,0.24445000000000006,0.24445000000000006
IND,RUS,1998,3,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,0.7666666666666666,0.9,0.13333333333333341,0.13333333333333341
IND,RUS,1998,4,HUMAN RIGHTS--REPORTS,0.5476333333333333,0.66665,0.11901666666666666,0.11901666666666666
IND,RUS,1998,5,DISARMAMENT--GENERAL AND COMPLETE,0.9603,0.875,-0.08530000000000004,0.08530000000000004
IND,RUS,1999,1,HUMAN RIGHTS ADVANCEMENT,0.7619000000000001,0.9388833333333334,0.17698333333333327,0.17698333333333327
IND,RUS,1999,2,DISARMAMENT--GENERAL AND COMPLETE,0.9741833333333334,0.8392999999999999,-0.13488333333333347,0.13488333333333347
IND,RUS,1999,3,PALESTINE QUESTION,0.7666666666666666,0.75,-0.016666666666666607,0.016666666666666607
IND,RUS,1999,4,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,0.9,0.9,0.0,0.0
IND,RUS,1999,5,UNRWA--ACTIVITIES,1.0,1.0,0.0,0.0
IND,RUS,1997,1,DECOLONIZATION,0.625,1.0,0.375,0.375
IND,RUS,1997,2,HUMAN RIGHTS ADVANCEMENT,0.55555,0.8730166666666667,0.3174666666666667,0.3174666666666667
IND,RUS,1997,3,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,0.6333333333333333,0.9,0.2666666666666667,0.2666666666666667
IND,RUS,1997,4,PALESTINE QUESTION,0.5833333333333334,0.7666666666666666,0.18333333333333324,0.18333333333333324
IND,RUS,1997,5,UNRWA--ACTIVITIES,0.8333333333333334,1.0,0.16666666666666663,0.16666666666666663
IND,USA,2023,1,UKRAINE--POLITICAL CONDITIONS,0.5,1.0,0.5,0.5
IND,USA,2023,2,DECOLONIZATION,0.0,0.1666499999999999,0.1666499999999999,0.1666499999999999
IND,USA,2023,3,HUMAN RIGHTS ADVANCEMENT,0.1666499999999999,0.0,-0.1666499999999999,0.1666499999999999
IND,USA,2023,4,UNRWA--ACTIVITIES,0.09721666666666663,0.0,-0.09721666666666663,0.09721666666666663
IND,USA,2023,5,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,0.1666499999999999,0.1666499999999999,0.0,0.0
