magnitude_threshold,effect_threshold,series_with_changes,candidate_events,confirmed_events,event_rate
0.1,0.3,16,112,59,3.8620689655172415
0.1,0.5,16,107,57,3.689655172413793
0.1,0.8,16,92,50,3.1724137931034484
0.1,1.0,16,71,41,2.4482758620689653
0.15,0.3,16,83,38,2.8620689655172415
0.15,0.5,16,82,38,2.8275862068965516
0.15,0.8,16,73,35,2.5172413793103448
0.15,1.0,16,58,30,2.0
0.2,0.3,15,63,27,2.1724137931034484
0.2,0.5,15,63,27,2.1724137931034484
0.2,0.8,15,58,24,2.0
0.2,1.0,15,47,22,1.6206896551724137
0.25,0.3,13,44,22,1.5172413793103448
0.25,0.5,13,44,22,1.5172413793103448
0.25,0.8,13,42,21,1.4482758620689655
0.25,1.0,13,36,19,1.2413793103448276
0.3,0.3,12,30,12,1.0344827586206897
0.3,0.5,12,30,12,1.0344827586206897
0.3,0.8,12,29,11,1.0
0.3,1.0,12,25,10,0.8620689655172413
0.4,0.3,8,20,7,0.6896551724137931
0.4,0.5,8,20,7,0.6896551724137931
0.4,0.8,8,19,7,0.6551724137931034
0.4,1.0,8,15,6,0.5172413793103449
