country_a,country_b,issue,observations,mean_alignment,median_alignment,mean_divergence,directional_agreement,reportable
CHN,RUS,HUMAN RIGHTS--REPORTS,8,0.57306875,0.57145,0.8538625,0.125,True
CHN,RUS,DISARMAMENT--GENERAL AND COMPLETE,17,0.7231235294117646,0.75,0.5537529411764706,0.7647058823529411,True
CHN,RUS,PALESTINE QUESTION,30,0.7283333333333334,0.75,0.5433333333333333,0.9,True
CHN,RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,3,0.8333499999999999,0.83335,0.3333,1.0,False
CHN,RUS,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,29,0.843103448275862,0.9,0.31379310344827577,0.8620689655172413,True
CHN,RUS,HUMAN RIGHTS ADVANCEMENT,17,0.8675058823529412,0.9,0.26498823529411764,0.8235294117647058,True
CHN,RUS,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,3,0.8889,0.83335,0.22219999999999998,1.0,False
CHN,RUS,MIDDLE EAST SITUATION,5,0.90001,0.83335,0.19998,1.0,True
CHN,RUS,DECOLONIZATION,7,0.9464285714285714,1.0,0.10714285714285714,1.0,True
CHN,RUS,UNRWA--ACTIVITIES,33,0.967509090909091,1.0,0.06498181818181818,1.0,True
CHN,USA,PALESTINE QUESTION,39,0.0,0.0,2.0,0.0,True
CHN,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS,3,0.0,0.0,2.0,0.0,False
CHN,USA,TERRITORIES OCCUPIED BY ISRAEL--SETTLEMENT POLICY,3,0.0,0.0,2.0,0.0,False
CHN,USA,APARTHEID,10,0.09304499999999997,0.08712499999999995,1.81391,0.0,True
CHN,USA,INTERNATIONAL TRADE,4,0.09375,0.0625,1.8125,0.0,False
CHN,USA,DECOLONIZATION,13,0.10320384615384616,0.0,1.7935923076923077,0.0,True
CHN,USA,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,38,0.14769473684210518,0.0999999999999999,1.7046105263157894,0.0,True
CHN,USA,UNRWA--ACTIVITIES,38,0.1686,0.14582499999999995,1.6628,0.0,True
CHN,USA,HUMAN RIGHTS ADVANCEMENT,17,0.17136176470588235,0.125,1.6572764705882352,0.0,True
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (10TH SPECIAL SESS. : 1978)--RECOMMENDATIONS,6,0.20800833333333327,0.23619999999999994,1.5839833333333333,0.0,True
CHN,USA,HUMAN RIGHTS--REPORTS,8,0.22828124999999994,0.2142999999999999,1.5434375,0.0,True
CHN,USA,DISARMAMENT--UN. GENERAL ASSEMBLY (12TH SPECIAL SESS. : 1982)--RECOMMENDATIONS,6,0.2440416666666666,0.20832499999999995,1.5119166666666668,0.0,True
