country_a,country_b,window_start,window_end,observations,mean_alignment,mean_divergence,directional_agreement
CHN,RUS,1988,1992,5,0.67056,0.65888,0.6
CHN,RUS,1989,1993,12,0.62315,0.7536999999999999,0.5
CHN,RUS,1990,1994,20,0.6276399999999999,0.7447199999999999,0.5
CHN,RUS,1991,1995,28,0.6362196428571429,0.7275607142857144,0.5
CHN,RUS,1992,1996,35,0.6700642857142857,0.6598714285714286,0.5714285714285714
CHN,RUS,1993,1997,37,0.696254054054054,0.6074918918918918,0.6216216216216216
CHN,RUS,1994,1998,36,0.7416944444444444,0.5166111111111111,0.6944444444444444
CHN,RUS,1995,1999,34,0.7808764705882352,0.4382470588235293,0.7647058823529411
CHN,RUS,1996,2000,32,0.8331203125000001,0.33375937499999997,0.875
CHN,RUS,1997,2001,29,0.847301724137931,0.30539655172413793,0.896551724137931
CHN,RUS,1998,2002,27,0.8710425925925925,0.25791481481481476,0.9259259259259259
CHN,RUS,1999,2003,28,0.8810803571428572,0.2378392857142857,0.9642857142857143
CHN,RUS,2000,2004,26,0.8969788461538462,0.2060423076923077,1.0
CHN,RUS,2001,2005,27,0.9004648148148149,0.19907037037037034,1.0
CHN,RUS,2002,2006,27,0.9041685185185185,0.19166296296296292,1.0
CHN,RUS,2003,2007,26,0.895673076923077,0.2086538461538461,1.0
CHN,RUS,2004,2008,22,0.8963999999999999,0.2072,1.0
CHN,RUS,2005,2009,22,0.8998090909090909,0.20038181818181816,1.0
CHN,RUS,2006,2010,20,0.8958299999999999,0.20833999999999997,1.0
CHN,RUS,2007,2011,21,0.8928547619047619,0.21429047619047617,1.0
CHN,RUS,2008,2012,21,0.8714261904761904,0.25714761904761907,0.9523809523809523
CHN,RUS,2009,2013,21,0.8714261904761904,0.25714761904761907,0.9523809523809523
CHN,RUS,2010,2014,20,0.8649975000000001,0.270005,0.95
CHN,RUS,2011,2015,19,0.8403499999999999,0.3193,0.8947368421052632
CHN,RUS,2012,2016,18,0.8222194444444445,0.35556111111111105,0.8333333333333334
CHN,RUS,2013,2017,17,0.8480382352941177,0.3039235294117647,0.8823529411764706
CHN,RUS,2014,2018,18,0.8564805555555556,0.28703888888888884,0.8888888888888888
CHN,RUS,2015,2019,18,0.8550916666666667,0.2898166666666666,0.8888888888888888
CHN,RUS,2016,2020,20,0.8933325,0.213335,0.95
CHN,RUS,2017,2021,19,0.9149131578947368,0.1701736842105263,1.0
CHN,RUS,2018,2022,19,0.9043868421052632,0.1912263157894737,1.0
CHN,RUS,2019,2023,19,0.8701763157894736,0.2596473684210526,0.9473684210526315
CHN,RUS,2020,2024,19,0.8548263157894738,0.29034736842105263,0.8947368421052632
CHN,RUS,2021,2025,23,0.8603282608695652,0.2793434782608695,0.8695652173913043
CHN,USA,1979,1983,10,0.29464999999999997,1.4106999999999998,0.0
CHN,USA,1980,1984,23,0.29948695652173907,1.4010260869565216,0.043478260869565216
CHN,USA,1981,1985,36,0.2948055555555555,1.410388888888889,0.05555555555555555
CHN,USA,1982,1986,50,0.290365,1.41927,0.04
CHN,USA,1983,1987,64,0.29509453124999996,1.4098109375,0.046875
CHN,USA,1984,1988,65,0.2829161538461538,1.4341676923076923,0.046153846153846156
CHN,USA,1985,1989,63,0.2652904761904762,1.4694190476190474,0.031746031746031744
CHN,USA,1986,1990,59,0.25523559322033895,1.4895288135593217,0.03389830508474576
CHN,USA,1987,1991,52,0.26047788461538457,1.4790442307692306,0.07692307692307693
CHN,USA,1988,1992,43,0.232013953488372,1.5359720930232559,0.06976744186046512
CHN,USA,1989,1993,39,0.24907948717948708,1.5018410256410255,0.10256410256410256
CHN,USA,1990,1994,36,0.26246249999999993,1.475075,0.1111111111111111
CHN,USA,1991,1995,35,0.2779685714285714,1.444062857142857,0.11428571428571428
CHN,USA,1992,1996,35,0.25383285714285714,1.4923342857142858,0.08571428571428572
CHN,USA,1993,1997,37,0.25949594594594594,1.481008108108108,0.10810810810810811
CHN,USA,1994,1998,36,0.24344027777777777,1.5131194444444445,0.08333333333333333
CHN,USA,1995,1999,34,0.2452970588235294,1.5094058823529413,0.08823529411764706
CHN,USA,1996,2000,32,0.22757187499999998,1.54485625,0.0625
CHN,USA,1997,2001,29,0.2098568965517241,1.5802862068965517,0.034482758620689655
CHN,USA,1998,2002,27,0.19762037037037034,1.6047592592592592,0.0
CHN,USA,1999,2003,28,0.16615714285714286,1.6676857142857142,0.0
CHN,USA,2000,2004,26,0.14139038461538458,1.7172192307692309,0.0
CHN,USA,2001,2005,27,0.11937037037037034,1.7612592592592593,0.0
CHN,USA,2002,2006,27,0.1258518518518518,1.7482962962962962,0.0
CHN,USA,2003,2007,26,0.12652692307692304,1.746946153846154,0.0
CHN,USA,2004,2008,22,0.12945681818181815,1.7410863636363636,0.0
CHN,USA,2005,2009,22,0.11241136363636359,1.7751772727272728,0.0
CHN,USA,2006,2010,20,0.12624999999999997,1.7475,0.0
CHN,USA,2007,2011,21,0.14563571428571426,1.7087285714285714,0.047619047619047616
CHN,USA,2008,2012,21,0.14087142857142854,1.7182571428571427,0.047619047619047616
CHN,USA,2009,2013,21,0.14087142857142854,1.7182571428571427,0.047619047619047616
CHN,USA,2010,2014,20,0.14791499999999996,1.70417,0.05
CHN,USA,2011,2015,19,0.14034999999999997,1.7192999999999998,0.05263157894736842
CHN,USA,2012,2016,18,0.1481444444444444,1.7037111111111112,0.05555555555555555
CHN,USA,2013,2017,17,0.13725294117647055,1.7254941176470588,0.058823529411764705
CHN,USA,2014,2018,18,0.11712777777777778,1.7657444444444446,0.05555555555555555
CHN,USA,2015,2019,18,0.10462777777777776,1.7907444444444447,0.05555555555555555
CHN,USA,2016,2020,20,0.089165,1.82167,0.05
CHN,USA,2017,2021,19,0.05569999999999999,1.8886,0.0
CHN,USA,2018,2022,19,0.06622631578947367,1.8675473684210524,0.0
CHN,USA,2019,2023,19,0.14517105263157892,1.7096578947368422,0.05263157894736842
CHN,USA,2020,2024,18,0.16249444444444439,1.675011111111111,0.05555555555555555
CHN,USA,2021,2025,22,0.16476818181818176,1.6704636363636363,0.045454545454545456
IND,CHN,1979,1983,10,0.93424,0.13151999999999997,1.0
IND,CHN,1980,1984,23,0.9215413043478261,0.15691739130434781,0.9565217391304348
IND,CHN,1981,1985,36,0.9381888888888889,0.1236222222222222,0.9722222222222222
IND,CHN,1982,1986,50,0.94632,0.10735999999999998,0.98
IND,CHN,1983,1987,64,0.9520726562499999,0.09585468749999998,0.984375
