country_a,country_b,change_year,mean_before,mean_after,change_magnitude,effect_size,persistence,low_variance_shift,confirmed,confidence
CHN,RUS,1999,0.702671,0.820433,0.117762,3.306165,3,False,True,0.671
CHN,RUS,1998,0.667513,0.78523,0.117718,3.034504,3,False,True,0.671
CHN,RUS,2000,0.739608,0.850488,0.11088,3.373466,3,False,True,0.669
CHN,RUS,1997,0.644641,0.739608,0.094967,2.802466,3,False,True,0.667
CHN,RUS,2001,0.78523,0.866475,0.081244,2.342991,3,False,True,0.664
CHN,RUS,1996,0.629003,0.702671,0.073668,2.82742,3,False,True,0.663
CHN,RUS,2002,0.820433,0.883034,0.062601,2.37047,3,False,True,0.661
CHN,RUS,2020,0.853203,0.904211,0.051007,6.164136,3,False,True,0.659
CHN,RUS,2023,0.904211,0.861777,0.042434,4.511509,3,False,True,0.657
CHN,RUS,2003,0.850488,0.892841,0.042353,2.751368,3,False,True,0.657
CHN,RUS,1993,0.67056,0.629003,0.041557,8.850121,3,False,True,0.657
CHN,RUS,2004,0.866475,0.900537,0.034063,2.719247,3,False,True,0.656
CHN,RUS,2024,0.896492,0.857577,0.038915,2.320994,2,False,False,0.557
CHN,RUS,2014,0.878569,0.842522,0.036047,2.057143,2,False,False,0.556
CHN,RUS,2015,0.869283,0.836869,0.032414,3.329863,2,False,False,0.556
CHN,RUS,2019,0.842246,0.887779,0.045533,1.83131,2,False,False,0.528
CHN,RUS,2012,0.896165,0.869283,0.026881,7.462621,1,False,False,0.455
CHN,RUS,2013,0.886704,0.858925,0.027779,1.859482,1,False,False,0.43
CHN,RUS,2021,0.868302,0.896492,0.028191,1.24984,2,False,False,0.424
CHN,RUS,2018,0.836869,0.868302,0.031432,1.748764,1,False,False,0.412
CHN,RUS,1995,0.64045,0.667513,0.027063,0.959538,2,False,False,0.373
CHN,USA,2023,0.070364,0.157478,0.087114,6.10144,3,False,True,0.665
CHN,USA,2003,0.211683,0.142306,0.069377,3.525147,3,False,True,0.662
CHN,USA,2004,0.191211,0.128871,0.062341,3.495122,3,False,True,0.661
CHN,USA,2002,0.227575,0.168389,0.059186,2.514355,3,False,True,0.66
CHN,USA,2019,0.134175,0.083164,0.051011,2.441432,3,False,True,0.659
