country_a,country_b,episode_start,episode_end,peak_change_year,window_years,rank,issue,contribution_percent,direction,absolute_shift
IND,RUS,1997,2000,1998,2,1,HUMAN RIGHTS ADVANCEMENT,41.935483870967744,INCREASING,0.32500000000000007
IND,RUS,1997,2000,1998,2,2,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,25.80645161290323,INCREASING,0.20000000000000007
IND,RUS,1997,2000,1998,2,3,PALESTINE QUESTION,16.129032258064512,INCREASING,0.125
IND,RUS,1997,2000,1998,2,4,UNRWA--ACTIVITIES,16.129032258064512,INCREASING,0.125
IND,RUS,1997,2000,1998,3,1,HUMAN RIGHTS ADVANCEMENT,36.64635623381222,INCREASING,0.3277833333333334
IND,RUS,1997,2000,1998,3,2,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,29.813479419382492,INCREASING,0.2666666666666667
IND,RUS,1997,2000,1998,3,3,PALESTINE QUESTION,18.63342463711405,INCREASING,0.16666666666666663
IND,RUS,1997,2000,1998,3,4,UNRWA--ACTIVITIES,14.906739709691239,INCREASING,0.1333333333333333
IND,RUS,1997,2000,1998,5,1,HUMAN RIGHTS ADVANCEMENT,32.984221820566404,INCREASING,0.35083750000000014
IND,RUS,1997,2000,1998,5,2,TERRITORIES OCCUPIED BY ISRAEL--HUMAN RIGHTS--REPORTS,30.085013667527694,INCREASING,0.32000000000000006
IND,RUS,1997,2000,1998,5,3,UNRWA--ACTIVITIES,16.400093075511034,INCREASING,0.17444000000000004
IND,RUS,1997,2000,1998,5,4,PALESTINE QUESTION,15.98266351087408,INCREASING,0.16999999999999993
IND,RUS,1997,2000,1998,5,5,DISARMAMENT--GENERAL AND COMPLETE,4.548007925520783,DECREASING,0.048374999999999946
